start_time,end_time,sent_end_time,sentence,filename
1473s,1480.700s,1480.700s,"Of course the podcast would also be a key part of our safety promotion effort, isn't it?",0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
88.100s,91.200s,94.800s,How will you define yourself and your journey?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
304.800s,309.100s,311.800s,"So you were in California, would you please share your strength over there?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
404s,408.600s,411.300s,So did you find any difference the way Indians practice?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
652.300s,654.800s,655.300s,But what has to if they want to live healthy?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
667.100s,671.500s,672.100s,But when you keep listening to it when you're there you have your people do you?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
705s,707.400s,710.200s,How do they respond to your teaching?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1003.700s,1007.300s,1007.300s,"Yeah, like how how you behaving?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1049.700s,1056.400s,1057.900s,Like do you find any change in the mindset of people or Rising awareness of the recent allocation of international yoga day?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1222.200s,1224.700s,1224.700s,Do you provide diets and everything?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1540.500s,1548.100s,1548.500s,"Is there but what about a 23 hours so the food plays a very big role very big role, right?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1560.800s,1565s,1568.300s,How do you convince people to know the importance of their life through your teaching?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1792s,1802.700s,1802.700s,"These days so if have you seen a baby lying down in a Crip, yeah, like when he or she breathe, can you can you imagine the stomach going on?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1895.900s,1909.100s,1909.200s,"Our music is a 2 so these tools we can use in our daily lives to calm ourselves down because that will give us the power to deal with the situation because the situation is still the same, right?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
1992.100s,2001.700s,2002.400s,"I think if you even if you feel angry, it's completely all right, just give yourself allow yourself to feel angry something that shouldn't be next but is the like it was it?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
2211.300s,2215.600s,2215.800s,"I can't even My girls of course you going to touch your toes when you get there, right?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
2404.600s,2409.800s,2410.400s,"Oh my God, I literally went home and then I just how do I do that?",0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
2483.600s,2487.500s,2487.700s,What did I do with someone who cannot even do once you can immerse car?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
2842s,2848.600s,2848.700s,So I think like using Mobile's also is it need but keep that living in Balance?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
2982.200s,2986s,2987.300s,And I wish you a good luck for achieving all that you want to do?,0\1\show_05fs6wj1EVLXwc0khY0W5p\3vXckcrvzR03LrnInpuaf9.json
75.700s,85.600s,86s,"I did my graduation in it and landed up with a job in again a technology sector, right?",0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
103.500s,107.600s,107.600s,I would like to ask you like how do you find your passion?,0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
107.100s,111.100s,113.500s,And what is the one way that can find the real passion?,0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
245.700s,252.400s,255s,What difference did you notice in yourself after visit visiting these places or how did they influence you?,0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
582.500s,590.600s,590.700s,"Okay, what was life for you like when you choose to take up a road biking for him?",0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
838s,847.100s,847.700s,And one thing it definitely tells you or at least makes you feel is that you are all alone on your own?,0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
977.600s,988.400s,988.400s,"I remember I answered this pretty length a pretty lengthy answer to one person's like the day you start working is the day you start saving, right?",0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
1321.600s,1324.200s,1326.500s,So any New Year resolution on your mind?,0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
1437s,1440.600s,1440.600s,I mean it's a cliche answer but who wouldn't say that?,0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
1495.400s,1500s,1501.500s,"Okay, so one can become shallow ground, right?",0\1\show_05fs6wj1EVLXwc0khY0W5p\6xuIEStzmNfjC9Ij1kJToe.json
92s,113.600s,113.900s,"Yes, you know when we were talking about this conversation prior to going live here we talked about how it's kind of like giving birth to something when you start, you know, in the depths of your imagination and you know, you just have this idea and you're like, huh?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
134.800s,147.500s,151.200s,"Yes, that's that we start paying attention to what's coming to us what wants to manifest in our reality?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
197.800s,225.200s,225.500s,"Yes, but then there is this something that kind of its kind of like when you go to a party and that is like, you know 50 people but you notice this one person for whatever reason and then you cannot you may be talking to other people yet in a corner of the eye you somehow like register their presence for whatever reason that is because there is an attraction or because you like how they carry themselves for you making up they are or whatever else, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
404.900s,412.600s,412.900s,Like how do I bring something from the Ethereal imagination plane down to the physical material plane?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
458.100s,459.800s,460s,What what is this an invitation?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
459.700s,469.800s,469.800s,"He seoun, you know, that's kind of like you said it's like a current like an electrical current or like something drawing you in like what what is what is what is happening here?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
796.500s,804s,804s,Do I believe you know talking about step to our belief is our belief do we have the level of belief to support us?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
803.900s,811.300s,812.200s,Like is this something that I believed that I could do do I believe that I could host Retreats?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
815.900s,820.100s,821s,Is this something that is within my realm of possibility?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
879.700s,893.300s,893.500s,"Yes could if I could not hey do I know for sure I can make it happen and I know how right listen go to the how let's just be like, hey, listen, would I want that?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
901s,905.200s,905.200s,Do I have believed in me that it could be possible?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
910.200s,920.800s,920.800s,"He said of asking is it possible sure, but what if it could be possible and then you get a strong?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
930.600s,955.200s,956.600s,And if the strength of belief it's bigger that it can dismiss or overcome or may be quiet those doubts then it's definitely something that we can run with we don't need to know how because our brain naturally start thinking about how and then we'll be going to the how is often what?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
954.700s,959.200s,959.200s,Diminishes or even kills that train right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
971.600s,977s,977s,Can I believe that can I hold this belief and can it be stronger than the doubts?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1041.100s,1044.500s,1044.800s,"It might have be the point where like, huh?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1107.700s,1112.800s,1112.800s,This is so out of my kind of experience right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1148.900s,1156.200s,1156.400s,Is this possible but rather how can this be possible?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1327.100s,1331.200s,1331.200s,"You may pick a different self presentation, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1331s,1338.700s,1338.800s,"If you're going to a Gala you most likely choose to wear something different than if you go into a bonfire on the beach, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1342.700s,1345.600s,1345.800s,"Well, I wanna wear evening dress, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1345.100s,1354.600s,1354.600s,"So that's step one of clarity and then you start building up all the add-ons right accessories in a case of dress, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1357.200s,1359.700s,1359.700s,What kind of jewelry am I gonna wear?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1400.100s,1403.700s,1405.500s,You know how the box has the image of the final?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1625.900s,1629s,1629s,"So I wearing this versus attention, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1660s,1666.500s,1668.700s,Rather than takes you away from what possible?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1734.600s,1742.800s,1743.200s,"And so that's when I reached out to a couple of people couple trusted people and I said, hey, will you come with me?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1742.500s,1745.600s,1745.600s,Will you come help me lead a retreat?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1749.500s,1751.400s,1751.400s,Will you take the lead on this?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1751.100s,1754.600s,1754.900s,Will you handle the planning of this excursion?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1753.900s,1757.100s,1757.100s,You you know do this will you do this?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
1800.900s,1816.200s,1816.200s,"And he said of seeing is an obstacle right or a roadblock you so it has invitation or the market or a pointer on on your map, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2051.400s,2058.700s,2058.900s,How can this be possible regardless of what's coming back to us that?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2160.800s,2171.700s,2172.700s,Some common lilac and scarcity is coming up is their lack of resources or time or energy or imagination or strength or courage?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2211.800s,2217.200s,2217.200s,This is either protecting me or guiding me and you know what?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2314.300s,2332.200s,2333.200s,"And what the laws is to do it is having the strong belief that that is what I would heart desires and also, Keeping the desired destination very strongly in mind in heart in division, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2517.300s,2521.600s,2522.700s,"Yes, you want to tell us how to go about that?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2726s,2729.600s,2729.600s,"Yeah, how can I how can I help you?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2741.400s,2750.600s,2751s,"Yeah, they become so creator of your dream and it's either by brainstorming or simply supporting your vision believing in your vision, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2784.800s,2787.500s,2787.800s,baby. It's the same with an idea right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2864.500s,2867.300s,2867.300s,"What would that feel like, can you put words to it?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2922.100s,2930.200s,2930.200s,He's an email here is a booking confirmation for a place I secured here is a deposit on putting down right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
2966.100s,2969.600s,2970.800s,The fox it's becoming complete right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
3117.600s,3123.400s,3124s,"Okay, and then want you go to Barbados?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
3195.800s,3205s,3205s,"Yeah, looking back to the moment when I first had that in cling of an idea of like, okay Inception of the idea, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
3431.200s,3437.300s,3437.700s,"If you do Retreat again, you can then just reuse it, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
3476.700s,3491.700s,3492s,"There is still so much to be celebrated right to saying yes to what we wanted to be tenacious in it to taking it to a completion, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
3548.900s,3558.600s,3558.800s,"Yes, makes us say yes to things again that may seem scary or big at first, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
3631s,3637s,3639.900s,"Okay, any closing thoughts invitations and good grades?",0\5\show_05As0fQbe0p9CgcaJbek8n\2CJtQvWuxtxxgpjqcL72uP.json
136.900s,140.600s,141.300s,What does it really mean to thrive?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
352.200s,355.700s,355.900s,That's kind of how surviving he has right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
437s,446.900s,447.200s,"It may manifest in conflict in being physically drained tired not motivated, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
483.700s,507.200s,508.400s,"Alright so some language we may use we may say oh, this is good enough for this will do or I'm just getting by all right and again, I would looks on the outside and how it feels did you you wear it Place us is in a victim mode?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
732s,748.400s,749.700s,"So now that we know the definition of thriving and we get I think a pretty good idea of how it looks like to be In a thriving mode, so let's talk about how does it happen?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
747.800s,756.900s,758.300s,"Yeah it you know when I was really sinking into this topic, you know, how how do we thrive?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
847.500s,869.200s,869.400s,"I think there is maybe derives from Disney this idea of all we can have this perfect relationship and it often looks like that at first when we in the honeymoon stage, but then there is this disappointment of all, it doesn't look like it was in the honeymoon anyway anymore, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
869s,872.700s,872.700s,It and why is that for that to happen?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
872.200s,878.500s,878.500s,"You have to choose this person every day, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
880.300s,887.700s,888.500s,And you everyday renew the commitment to them and to that relationship?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1029.600s,1035.600s,1037s,How is it possible to create thriving life?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1035s,1038.900s,1038.900s,"We were talking about choice, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1093.300s,1100.800s,1102.300s,So what may stand in the way of that choice or in mindset?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1185.200s,1206.400s,1207.200s,"My security is at risk in some way right because that means any kind of shape shifting and stretching means we have to give something up we have to leave something behind and Often that means something that's known familiar didn't therefore comfortable so our comfort zone, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1415s,1417.800s,1417.900s,"I should be certain way, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1441.100s,1449.500s,1449.500s,"What type what our experience should be like, you know, and in someone's life is would be right what life should be what our experience of life should be?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1486.200s,1502.700s,1503.100s,"Xiety is sort of set up more on Survival than driving in a sense that there are systems put in place by the government to help you survive like welfare Medicaid, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1532.700s,1540.600s,1543.200s,"There is no teaching skills of what we actually use every day, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1599.500s,1607.200s,1607.600s,"Yes, right how to forgive how to and so on right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1619.700s,1652.700s,1653.300s,Hmm and and those social paradigms then go into the second block the self-identification based on the You are born into and raised in right we develop different tops concepts of what it means to be a woman with that means to be a man right how it's okay to be how it's not okay to be and we develop those self-identification of or based on all these requirements and this should template right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1673.400s,1688.500s,1689.600s,"Well, I can't Dube your have that right and then like you said then the fear Is a strong component of that induced by all those three components?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1870.700s,1886.400s,1886.400s,"Yeah, and I think that another way it plays out is In our priorities, which is really our selection of what is important to us of Sir priority, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1933.800s,1941.900s,1942.800s,"Therefore I I say no to people who create drama or chaos in my life, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2200.100s,2202.800s,2203.600s,Can you give us an example to illustrate?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2294.400s,2301.900s,2301.900s,And in my own rooted grounded security knowing my self-worth and draw the line and say you know what?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2414.500s,2438.800s,2439.100s,"Positive and we do want so let's say if we coming from scarcity and think well, I don't really like the way this trend treats me but I don't have that many friends, you know, and overall it's kind of like the best friend I do have right and then we will be available to put up with way more right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2655.400s,2660.400s,2660.400s,"The code of Standards is different, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2660.400s,2666.700s,2666.900s,Yes that we have a different lock the Baseline for what is a deal breaker?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2696.400s,2701.100s,2701.100s,Is somebody who smokes cigarettes right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2701.600s,2711.900s,2712.300s,"I choose not to be available and to be in a relationship with somebody who smoke cigarettes, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2717s,2723.700s,2723.700s,"Let's say we like certain body type or look physically, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2847.700s,2865.700s,2865.700s,"I feel like when we are in this surviving mode, we are very much focused on I need this right and that's like the the woods I needed sometimes I call that will do because that's all I need right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2868.600s,2872.900s,2875.600s,"Now that I have what I need, what do I want?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2904.900s,2908.200s,2909.300s,That I'm being provided for right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2907.500s,2922.800s,2922.800s,"And again, I feel like all this discussion about what we want ties to another podcast with that on Consciousness creating contrast story writing your conscious story, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3066.400s,3075.400s,3075.800s,"You know, it's funny because if if I was just you know, if we were just on a phone call and I was like hey, so what are you going on you would you have going on today?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3322.200s,3325.700s,3326.300s,Where do we start the first element?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3360.800s,3364s,3364.500s,Where do we place our attention?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3401.300s,3415s,3415.400s,"The driver survived now tension that this what I want my like, you know the saying keep your eyes on the prize, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3489.300s,3495s,3495.400s,"We are available for or no longer available for yes, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3501.900s,3506.700s,3508s,What about invitation for our listeners?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3555.400s,3570.700s,3570.800s,"Hmm and how we can do it is by asking ourselves by checking in with ourselves if we are on course, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3580s,3588.100s,3588.700s,Does it feel like for driving or does it feel surviving right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3587.400s,3593.300s,3593.500s,Or we may ask if I was thriving would I choose this?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3598.800s,3604.200s,3604.500s,"Oh, I love that if I'm thriving would I choose this?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3606.800s,3615.800s,3617.200s,So imagine if I already was that person that was driving or a person that drives would they choose that?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3692.300s,3699.900s,3700.200s,"Journey of not just surviving but thriving yes, when you start asking different questions, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3763.400s,3767.300s,3770.400s,So does hearing that felt so good in my body?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
294.100s,298.800s,299.200s,"I don't Rather than oh, how do I get that?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
353.300s,361.300s,361.500s,"So it's sad that this place is a major attitude switch or adjustment, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
384.900s,410.400s,411s,"Right which gets supported but all the evidence we can collect and then we stay in this place of Lock and not enough - and that leads to going into this all pull me the victim mode and that feels stuck and heavy and hopeless, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
435.700s,438.500s,438.700s,"We not denying the current facts, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
444.100s,447.900s,448s,"Okay, does this is not changed yet?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
550.900s,554.400s,554.800s,So can I write so that it switches?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
